taskId,title,dependencies,acceptance,status,owner,evidence
W0-01,环境与已有仓库审计,无,实际 SDK/设备/现有文件清单；不覆盖已有工程,DONE,Codex,tracking/evidence/W0-01-environment-and-repository-audit.md
W0-02,Ruby 技术验证,W0-01,混排、长文、200% 字号、Windows/Android状态；iOS依ADR-105延期,DONE,Codex,tracking/evidence/STAGE-D6-20260920.md
W0-03,离线注音候选验证,W0-01,词典来源、候选引擎、可解释误音清单,DONE,Codex,tracking/evidence/W0-03-offline-pinyin-candidate-trial.md
W0-04,音频与权限验证,W0-01,本地播放、真实录音、TTS 离线状态,DONE,Codex,tracking/evidence/STAGE-D7-20260920.md
W0-05,文件保存和分享验证,W0-01,Windows/Android流读取、保存取消、自定义后缀回退；iOS依ADR-105延期,DONE,Codex,tracking/evidence/STAGE-D6-20260920.md
W0-06,锁定技术决策,W0-02..05,ADR、版本锁、阻塞与替代路线,DONE,Codex,tracking/evidence/STAGE-D8-20260920.md
W1-01,Core/Infrastructure/App 骨架,W0-01,保留已有 App；Core 可独立测试；平台依赖冻结和适配器完成仍由 W0-06 放行,DONE,Codex,tracking/evidence/W1-01-project-skeleton.md
W1-02,内容契约与验证器,W1-01,schema+范围+ID+拼音一致性测试,DONE,Codex,tracking/evidence/W1-02-content-contract-and-validator.md
W1-03,SQLite 与首版迁移框架,W1-02,持久化、外键、重启、失败回滚；落实草稿/设置/收藏版本与每次导入 operationId 收据,DONE,Codex,tracking/evidence/W1-03-sqlite-and-initial-migration.md
W1-04,五入口与即时本地化,W1-01,三语言刷新；正文不变,DONE,Codex,tracking/evidence/W1-04-five-entry-localization.md
W1-05,样例内容与目录装载,"W1-03,W1-08,W1-09",12词/1文/1语法/1诗与基础字典开发素材，真实来源状态,DONE,Codex,tracking/evidence/W1-05-W2-01-pinyin-and-starter.md
W1-06,基础 Ruby 控件,W1-02,数据到控件的真实展示，不以空格对齐,DONE,Codex,tracking/evidence/W1-06-native-paged-reader.md
W1-07,语法数据与角色验证,W1-02,schema v2、完整unit引用、样例、旧三类不退化,DONE,Codex,tracking/evidence/W1-07-grammar-validation.md
W1-08,资源与字典持久模型,W1-03,五张资源表、拥有关系/撤下/保留、搜索alias主键,DONE,Codex,tracking/evidence/W1-08-resource-and-dictionary-persistence.md
W1-09,本地资源安装基础链,"W1-08,W1-07,W1-04",先完成共享 ZIP 白名单/限额/哈希/版本/引用验证，再安装文本资源；有音频的包在音频链完成前整包拒绝，不静默丢弃音轨,DONE,Codex,tracking/evidence/W1-09-text-resource-installation.md
