# AI-assisted pronunciation drafts. key;exact definition text;numbered Hanzi readings (0 neutral). No sandhi substitution for yi/bu. Independent review pending.
ba1;数目，七加一。;shu4 mu4 qi1 jia1 yi1
ba2;用力向外拉出。;yong4 li4 xiang4 wai4 la1 chu1
ba3;用手握住；也用于把字句。;yong4 shou3 wo4 zhu4 ye3 yong4 yu2 ba3 zi4 ju4
ba4;父亲的称呼。;fu4 qin1 de0 cheng1 hu0
pa1;身体朝下伏着。;shen1 ti3 chao2 xia4 fu2 zhe0
pa2;手脚并用向前或向上移动。;shou3 jiao3 bing4 yong4 xiang4 qian2 huo4 xiang4 shang4 yi2 dong4
pa4;感到恐惧或担心。;gan3 dao4 kong3 ju4 huo4 dan1 xin1
ma1;母亲的称呼。;mu3 qin1 de0 cheng1 hu0
ma2;一种可取纤维的植物。;yi1 zhong3 ke3 qu3 xian1 wei2 de0 zhi2 wu4
ma3;一种可供骑乘、拉车的动物。;yi1 zhong3 ke3 gong1 qi2 cheng2 la1 che1 de0 dong4 wu4
ma4;用粗鲁的话责备或攻击别人。;yong4 cu1 lu3 de0 hua4 ze2 bei4 huo4 gong1 ji1 bie2 ren2
fa1;送出；发出。;song4 chu1 fa1 chu1
fa2;因过错而受到惩处。;yin1 guo4 cuo4 er2 shou4 dao4 cheng2 chu3
fa3;方法；规则或法律。;fang1 fa3 gui1 ze2 huo4 fa3 lv4
fa4;头上生长的毛。;tou2 shang4 sheng1 zhang3 de0 mao2
da1;把东西架起或连接。;ba3 dong1 xi0 jia4 qi3 huo4 lian2 jie1
da2;到达；达到。;dao4 da2 da2 dao4
da3;击、敲；也用于打球等动作。;ji1 qiao1 ye3 yong4 yu2 da3 qiu2 deng3 dong4 zuo4
da4;与小相对。;yu3 xiao3 xiang1 dui4
ta1;指男性第三人称。;zhi3 nan2 xing4 di4 san1 ren2 cheng1
ta3;高耸、分层的建筑物。;gao1 song3 fen1 ceng2 de0 jian4 zhu4 wu4
ta4;用脚踩。;yong4 jiao3 cai3
na2;用手取或握住。;yong4 shou3 qu3 huo4 wo4 zhu4
na3;询问人或事物中的某一个。;xun2 wen4 ren2 huo4 shi4 wu4 zhong1 de0 mou3 yi1 ge4
na4;指较远的人或事物。;zhi3 jiao4 yuan3 de0 ren2 huo4 shi4 wu4
la1;用力使物体向自己移动。;yong4 li4 shi3 wu4 ti3 xiang4 zi4 ji3 yi2 dong4
la3;用于喇叭一词。;yong4 yu2 la3 ba0 yi1 ci2
la4;像辣椒一样刺激的味道。;xiang4 la4 jiao1 yi1 yang4 ci4 ji1 de0 wei4 dao4
ge1;能唱出的有节奏的词句。;neng2 chang4 chu1 de0 you3 jie2 zou4 de0 ci2 ju4
ge2;格子；规格。;ge2 zi0 gui1 ge2
ge3;姓氏。;xing4 shi4
ge4;用于计算人或事物的量词。;yong4 yu2 ji4 suan4 ren2 huo4 shi4 wu4 de0 liang4 ci2
ke1;学科；类别。;xue2 ke1 lei4 bie2
ke2;咳嗽，把气从喉咙突然呼出。;ke2 sou0 ba3 qi4 cong2 hou2 long2 tu1 ran2 hu1 chu1
ke3;可以；能够。;ke3 yi3 neng2 gou4
ke4;教学的一个时段或学习内容。;jiao4 xue2 de0 yi1 ge4 shi2 duan4 huo4 xue2 xi2 nei4 rong2
he1;把水等液体咽下去。;ba3 shui3 deng3 ye4 ti3 yan4 xia4 qu4
he2;天然的较大水道。;tian1 ran2 de0 jiao4 da4 shui3 dao4
he4;表示祝贺。;biao3 shi4 zhu4 he4
ji1;一种常见家禽。;yi1 zhong3 chang2 jian4 jia1 qin2
ji2;着急；急迫。;zhao2 ji2 ji2 po4
ji3;询问数目。;xun2 wen4 shu4 mu4
ji4;记住；记录。;ji4 zhu4 ji4 lu4
qi1;数目，六加一。;shu4 mu4 liu4 jia1 yi1
