# Original brief Chinese explanations, aligned with tones 1..4 in pinyin-examples.tsv. Draft, pending independent review.
ba;数目，七加一。|用力向外拉出。|用手握住；也用于把字句。|父亲的称呼。
pa;身体朝下伏着。|手脚并用向前或向上移动。|-|感到恐惧或担心。
ma;母亲的称呼。|一种可取纤维的植物。|一种可供骑乘、拉车的动物。|用粗鲁的话责备或攻击别人。
fa;送出；发出。|因过错而受到惩处。|方法；规则或法律。|头上生长的毛。
da;把东西架起或连接。|到达；达到。|击、敲；也用于打球等动作。|与小相对。
ta;指男性第三人称。|-|高耸、分层的建筑物。|用脚踩。
na;-|用手取或握住。|询问人或事物中的某一个。|指较远的人或事物。
la;用力使物体向自己移动。|-|用于喇叭一词。|像辣椒一样刺激的味道。
ge;能唱出的有节奏的词句。|格子；规格。|姓氏。|用于计算人或事物的量词。
ke;学科；类别。|咳嗽，把气从喉咙突然呼出。|可以；能够。|教学的一个时段或学习内容。
he;把水等液体咽下去。|天然的较大水道。|-|表示祝贺。
ji;一种常见家禽。|着急；急迫。|询问数目。|记住；记录。
qi;数目，六加一。|跨坐在动物或车辆上。|由坐卧到站立；开始。|气体；空气。
xi;与东相对的方向。|学习；练习。|用水等去掉污垢。|与粗相对；精细。
zhi;知道；了解。|不弯曲。|用于书写、印刷等的薄片材料。|到；到达。
chi;把食物送入口中咽下。|比预定或合适的时间晚。|量长度的工具；长度单位。|红色。
shi;用凝练、有节奏的语言表达感情的文学作品。|数目，九加一。|历史；过去发生的事情。|表示判断或肯定。
ri;-|-|-|太阳；一天。
zi;财物；供使用的条件。|-|孩子；后代。|记录语言的书写符号。
ci;某些动物中能够产卵或生育的一方。|语言中能独立运用的单位。|这个。|次数；顺序。
si;蚕吐出的细长纤维。|-|生命结束。|数目，三加一。
yi;衣服。|改变位置；移动。|供人坐的家具，常有靠背。|意思；心意。
wu;房屋。|没有。|数目，四加一。|东西；事物。
yu;泥沙沉积或堵塞。|生活在水中、通常用鳃呼吸的动物。|从云中降落的水滴。|质地坚硬、可雕刻的美丽石头。
a;常放在人名或称呼前，表示亲近。|-|-|-
o;表示了解或领会的叹词。|表示疑问或惊讶的叹词。|-|表示明白、应答等的叹词。
e;-|一种颈长、常在水边活动的家禽。|用于恶心，表示想呕吐或令人厌恶。|肚子空、想吃东西。
ai;悲伤。|-|与高相对。|喜爱；关心。
bei;盛饮料等的器具。|-|与南相对的方向。|有硬壳的软体动物或它的壳。
gui;返回；归属。|-|传说中人死后的灵魂。|价格高；珍贵。
bao;包裹东西；装东西的袋子。|从云中降下的冰粒或冰块。|珍贵的东西。|用手臂围住。
gou;地面上细长的凹处或水道。|-|一种常见家养动物。|达到所需的数量或程度。
liu;悄悄离开；滑行。|液体移动。|一种枝条细长的树。|数目，五加一。
jie;两旁有房屋的道路。|节日；段落。|分开；解开。|暂时使用别人的东西或让别人暂用。
yue;事先商定；约定。|-|-|月亮；计时单位。
er;-|小孩；儿子。|听觉器官。|数目，一加一。
an;平静；安全。|-|-|水边的陆地。
ben;快跑。|-|书籍的量词；根本。|不灵巧；理解慢。
yin;声音。|一种银白色金属。|领着走；引导。|印章；留下痕迹。
lun;-|轮子，能绕轴转动的圆形物体。|-|讨论；说明道理。
yun;头脑昏沉，感到周围旋转。|空中由小水滴或冰晶组成的物体。|允许；答应。|移动；运输。
bang;帮助。|-|用绳子等缠绕、捆住。|棍子；也表示很好。
deng;照明的器具。|-|等待；相同。|没有靠背的坐具。
ding;成年男子；也用于姓氏。|-|最上面的部分。|确定；固定。
dong;一年四季中的冬季。|-|明白；了解。|改变原来的位置或状态。
ye;椰子，一种生长在热带的植物及其果实。|祖父的称呼。|郊外；未经驯养的。|天黑到天亮的一段时间。
yuan;受到不公平的对待。|货币单位；开始。|距离长，与近相对。|院子；某些机构的名称。
ying;杰出；也用于英雄。|朝着来的人或事物过去接待。|光被挡住后形成的暗处。|与软相对。
