# Curated development examples. Columns: base; tones 1..4 (- = no example); English; Japanese.
ba;八 拔 把 爸;eight|pull out|hold|dad;八|抜く|握る|お父さん
pa;趴 爬 - 怕;lie prone|climb|-|fear;うつ伏せになる|登る|-|怖がる
ma;妈 麻 马 骂;mother|hemp|horse|scold;母|麻|馬|叱る
fa;发 罚 法 发;send|punish|law|hair;送る|罰する|法律|髪
da;搭 达 打 大;put up|reach|hit|big;組み立てる|達する|打つ|大きい
ta;他 - 塔 踏;he|-|tower|step on;彼|-|塔|踏む
na;- 拿 哪 那;-|take|which|that;-|取る|どの|あの
la;拉 - 喇 辣;pull|-|trumpet (喇叭)|spicy;引く|-|ラッパ（喇叭）|辛い
ge;歌 格 葛 个;song|grid|surname Ge|individual;歌|格子|姓の葛|個
ke;科 咳 可 课;subject|cough|may|lesson;科目|咳|可能|授業
he;喝 河 - 贺;drink|river|-|congratulate;飲む|川|-|祝う
ji;鸡 急 几 记;chicken|urgent|how many|remember;鶏|急な|いくつ|覚える
qi;七 骑 起 气;seven|ride|rise|air;七|乗る|起きる|空気
xi;西 习 洗 细;west|practice|wash|fine;西|習う|洗う|細かい
zhi;知 直 纸 至;know|straight|paper|arrive;知る|まっすぐ|紙|至る
chi;吃 迟 尺 赤;eat|late|ruler|red;食べる|遅い|物差し|赤い
shi;诗 十 史 是;poem|ten|history|be;詩|十|歴史|である
ri;- - - 日;-|-|-|sun;-|-|-|日
zi;资 - 子 字;resources|-|child|character;資源|-|子|文字
ci;雌 词 此 次;female|word|this|time;雌|語|これ|回
si;丝 - 死 四;silk|-|die|four;絹|-|死ぬ|四
yi;衣 移 椅 意;clothes|move|chair|meaning;服|移る|椅子|意味
wu;屋 无 五 物;house|without|five|thing;家|ない|五|物
yu;淤 鱼 雨 玉;silt|fish|rain|jade;泥がたまる|魚|雨|玉
a;阿 - - -;prefix ā|-|-|-;接頭語の阿|-|-|-
o;噢 哦 - 哦;oh|oh?|-|oh!;ああ|おや|-|ああ
e;- 鹅 恶 饿;-|goose|nauseous (恶心)|hungry;-|ガチョウ|吐き気（恶心）|空腹
ai;哀 - 矮 爱;sorrow|-|short|love;悲しみ|-|背が低い|愛する
bei;杯 - 北 贝;cup|-|north|shell;コップ|-|北|貝
gui;归 - 鬼 贵;return|-|ghost|expensive;帰る|-|幽霊|高価
bao;包 雹 宝 抱;bag|hail|treasure|hug;袋|雹|宝|抱く
gou;沟 - 狗 够;ditch|-|dog|enough;溝|-|犬|十分
liu;溜 流 柳 六;slip away|flow|willow|six;こっそり去る|流れる|柳|六
jie;街 节 解 借;street|festival|untie|borrow;街|祭り|解く|借りる
yue;约 - - 月;appointment|-|-|moon;約束|-|-|月
er;- 儿 耳 二;-|child|ear|two;-|子|耳|二
an;安 - - 岸;peace|-|-|shore;安らか|-|-|岸
ben;奔 - 本 笨;run|-|volume (classifier), root|clumsy;走る|-|冊（量詞）・根本|不器用
yin;音 银 引 印;sound|silver|lead|stamp;音|銀|導く|印
lun;- 轮 - 论;-|wheel|-|discuss;-|車輪|-|論じる
yun;晕 云 允 运;dizzy|cloud|permit|transport;めまい|雲|許す|運ぶ
bang;帮 - 绑 棒;help|-|tie|stick;助ける|-|縛る|棒
deng;灯 - 等 凳;lamp|-|wait|stool;灯り|-|待つ|腰掛け
ding;丁 - 顶 定;adult male|-|top|decide;成人男子|-|頂上|決める
dong;冬 - 懂 动;winter|-|understand|move;冬|-|分かる|動く
ye;椰 爷 野 夜;coconut|grandfather|wild|night;ココナッツ|祖父|野生|夜
yuan;冤 元 远 院;injustice|yuan|far|courtyard;冤罪|元|遠い|庭
ying;英 迎 影 硬;heroic|welcome|shadow|hard;優れた|迎える|影|硬い
