executionId,caseId,platform,layer,status,coverage,buildSha256,executedAt,device,scope,evidence
D3-20260919-001,HM-D009,Shared,integration,PASS,full,fb5ab4d1f2e2d018b7ea9983860300b81456a150e630e9b41b127a20b8ffa66d,2026-09-19,Windows .NET10 production services,3隔离夹具逐页及逐段对比全文；209/9/4页；非教学终审,tracking/evidence/STAGE-D3-20260919.md
D3-20260919-002,HM-D010,Android,platform,PASS,full,45b5e67c5f63d796ff047ca3ed75d9336a7ea5b60f1118fe3ad6e8e7d65caff7,2026-09-19,API36 emulator-5554,最终APK系统200%长文末页和混排阅读200%及诗词4/4；恢复中文系统100%阅读150%,tracking/evidence/STAGE-D3-20260919.md
D3-20260919-003,HM-D010,Windows,platform,PASS,partial,5cae08a98fe30192fae41ec0e403430223776163c91200b013984fa52c21cfcf,2026-09-19,Windows native HanMate PID21480,实际窗口长文209/209和混排阅读200%；恢复英语100%；诗词及系统字体200%未验,tracking/evidence/STAGE-D3-20260919.md
D3-20260919-004,HM-D011,Android,platform,PASS,full,45b5e67c5f63d796ff047ca3ed75d9336a7ea5b60f1118fe3ad6e8e7d65caff7,2026-09-19,API36 emulator-5554,中文切日语返回保留209/209；恢复中文并系统字体重建后验证150%拼音及AI067,tracking/evidence/STAGE-D3-20260919.md
D3-20260919-005,HM-D012,Windows,platform,PASS,full,5cae08a98fe30192fae41ec0e403430223776163c91200b013984fa52c21cfcf,2026-09-19,Windows native HanMate PID21480,精确进程及窗口；Tab跳过禁用缩小按钮；Enter到2/209及End到209/209；截图和焦点JSON,tracking/evidence/STAGE-D3-20260919.md
D3-20260919-006,HM-D013,Android,platform,FAIL,full,45b5e67c5f63d796ff047ca3ed75d9336a7ea5b60f1118fe3ad6e8e7d65caff7,2026-09-19,API36 emulator-5554,系统200%日英底部标签省略且列表计数挤出筛选视口；完整可访问名称不代表视觉PASS；D4修复,tracking/evidence/STAGE-D3-20260919.md
A-20260919-001,HM-A006,Android,platform,PASS,full,216b1b52b749dd85afdbdeaffaa08983c36e740437e195005e2cf8f95a89d5e5,2026-09-19,API36 emulator-5554,历史映射：个人TXT导入保存后飞行模式两段朗读；不扩展为全部阅读器验收,tracking/evidence/W3-offline-ai-voices-20260919.md
A-20260919-002,HM-A001,Shared,integration,PASS,full,7abbc95e1cef54f782fada31c5bdcd58db6388fbe51ec3a90470c4ed4ad88d19,2026-09-19,Windows .NET10.0.12 testhost,VoicePackTests14项；可控HTTP及真实隔离文件系统；不包含物理卷满盘,tracking/evidence/STAGE-A-20260919.md
A-20260919-003,HM-A002,Shared,unit,PASS,full,e2d916a048af65496b3562cb7d992b76910563fee430c957aa0fed95f3a57b97,2026-09-19,Windows .NET10.0.12 testhost,统一48元素分块；长标点提前拒绝；空白跳过；尾部未知字符；取消,tracking/evidence/STAGE-A-20260919.md
A-20260919-004,HM-A002,Windows,native,PASS,full,88eb2855510d62f7fb25dbf659f3c85693ba59c6f7a307e8f112faa14e6f2c12,2026-09-19,Windows10.0.26220 CPU x64,最终预检长标点拒绝/空白通过；10句双音色22WAV非静音,tracking/evidence/STAGE-A-20260919.md
A-20260919-005,HM-A003,Windows,native,PASS,full,1a1863d70609f048cdb5f1d9b79340cfbf0213282ae6a770c11cd19bb1deace6,2026-09-19,Windows10.0.26220 CPU24 .NET10.0.12,20分钟1010轮及30次取消恢复；原生合成不是设备播放；统一预检前的探针版本见证据,tracking/evidence/STAGE-A-20260919.md
