subjectId,documentSha256,collection,kind,title,unitId,role,text,pinyin,english,japanese,missingHanzi,readingRecheck
content:cfb0826f-9da8-5f98-9696-db503e4ec469,8c9cc386eb8c17f4417af5e49f292e38fe5939ab003215e51b9d6f06cfa4be65,learning,word,你好,899484da-12ac-5e4f-9911-94c83e3e832b,headword,你好,nǐ hǎo,hello,こんにちは,0,
content:cfb0826f-9da8-5f98-9696-db503e4ec469,8c9cc386eb8c17f4417af5e49f292e38fe5939ab003215e51b9d6f06cfa4be65,learning,word,你好,7f23f711-d6f7-5e6f-80f4-432c82982356,example,你好，欢迎。,nǐ hǎo ， huān yíng 。,"Hello, welcome.",こんにちは。ようこそ。,0,
content:cfb0826f-9da8-5f98-9696-db503e4ec469,8c9cc386eb8c17f4417af5e49f292e38fe5939ab003215e51b9d6f06cfa4be65,learning,word,你好,5c4a85b0-264d-5ab4-9a28-cf2f4bb5d2a9,definition,见面时表示问候的用语。,jiàn miàn shí biǎo shì wèn hòu de yòng yǔ 。,A greeting used when meeting someone.,人に会ったときに使う挨拶。,0,
content:182e1a43-9188-5915-b3c6-24619ac5db22,5d4aadb698519fea990a666bb4d37683c24793873a2606aaaa5fd2db537569c8,learning,word,学习,eef758cb-07f7-593f-9df9-56e149d739f7,headword,学习,xué xí,to learn,学ぶ,0,
content:182e1a43-9188-5915-b3c6-24619ac5db22,5d4aadb698519fea990a666bb4d37683c24793873a2606aaaa5fd2db537569c8,learning,word,学习,862f578d-b7a1-5e93-ab6b-26792d2023a6,definition,通过阅读、练习等方式获得知识或技能。,tōng guò yuè dú 、 liàn xí děng fāng shì huò dé zhī shi huò jì néng 。,"To gain knowledge or skills through reading, practice, or other methods.",読書や練習などによって知識や技能を身につけること。,0,
content:4dab5c64-c325-52aa-85c0-b54536f56214,d560259c31ce15469d2669e261e280d14743618697cd8ce9945a987770aee802,learning,word,银行,027b6573-b7d9-54ac-8129-3df9b391993d,headword,银行,yín háng,bank,銀行,0,
content:4dab5c64-c325-52aa-85c0-b54536f56214,d560259c31ce15469d2669e261e280d14743618697cd8ce9945a987770aee802,learning,word,银行,08fc5724-f093-5067-bd2a-c5ae99334733,definition,经营存款、贷款等业务的金融机构。,jīng yíng cún kuǎn 、 dài kuǎn děng yè wù de jīn róng jī gòu 。,A financial institution that accepts deposits and provides loans.,預金や貸付などを扱う金融機関。,0,
content:6c90e6a9-346e-575f-9c86-774a93325907,529e6e65fdad9e98447d7f9cb8f495fb01e2099cd5e81359537a90d4f95a8edd,learning,word,行走,2a156bea-af54-5e21-bebf-a2e79c2b8764,headword,行走,xíng zǒu,to walk,歩く,0,
content:6c90e6a9-346e-575f-9c86-774a93325907,529e6e65fdad9e98447d7f9cb8f495fb01e2099cd5e81359537a90d4f95a8edd,learning,word,行走,b74e38f0-2640-52b4-883e-4dd4bbc478b7,definition,用脚步移动身体，走路。,yòng jiǎo bù yí dòng shēn tǐ ， zǒu lù 。,"To move on foot, to walk.",足で移動すること。歩くこと。,0,
content:1fb9f21a-7b53-5520-9a20-0614f1ff3bdd,2035acdfc8c90dea5afbd627600e5613f7638fcb684b99b4aeb451758d822556,learning,word,音乐,3d82806b-4b88-50d1-a333-c74690e6d177,headword,音乐,yīn yuè,music,音楽,0,乐=yuè
content:1fb9f21a-7b53-5520-9a20-0614f1ff3bdd,2035acdfc8c90dea5afbd627600e5613f7638fcb684b99b4aeb451758d822556,learning,word,音乐,1dad44b6-5727-5180-9ccc-b9468913991f,definition,用声音的节奏、旋律等表达情感的艺术。,yòng shēng yīn de jié zòu 、 xuán lǜ děng biǎo dá qíng gǎn de yì shù 。,"The art of expressing feelings through rhythm, melody, and sound.",音のリズムや旋律などで感情を表現する芸術。,0,
content:c01aef0c-96a3-5f73-991a-4a76a61c0e6c,3f06caa9cc57b1185d0023fa53efc8313435d5e4686ca1b15785b4c72dd04d0c,learning,word,快乐,039052d6-dcc1-5317-b5fb-749d393e34b7,headword,快乐,kuài lè,happy,楽しい,0,
content:c01aef0c-96a3-5f73-991a-4a76a61c0e6c,3f06caa9cc57b1185d0023fa53efc8313435d5e4686ca1b15785b4c72dd04d0c,learning,word,快乐,7f4b4a9e-f36a-55ca-8531-47e85536e51d,definition,感到高兴、愉快。,gǎn dào gāo xìng 、 yú kuài 。,Feeling happy or joyful.,楽しく、うれしい気持ちであること。,0,
content:a40738e6-8724-5882-8290-d2443a51f185,e0da61ecdcb5b593c5866bfe989ee7cfa82368a0d579a223bca092a3c80f1ecc,learning,word,女儿,e293c487-f86b-56c1-83cf-2ddc4c5716c0,headword,女儿,nǚ ér,daughter,娘,0,
content:a40738e6-8724-5882-8290-d2443a51f185,e0da61ecdcb5b593c5866bfe989ee7cfa82368a0d579a223bca092a3c80f1ecc,learning,word,女儿,0130f094-8e6a-5dca-997d-ac025e3995b1,definition,父母所生的女性孩子。,fù mǔ suǒ shēng de nǚ xìng hái zi 。,A female child in relation to her parents.,親から見た女の子。娘。,0,
content:dfe09d18-24ba-596d-9874-ee94c80b406b,033a6cdc38a47515d7d198b68c1fe33dcbf88a7689467d9d3eb5bc32506b7223,learning,word,绿色,e06a0096-8586-53b7-9a55-53d3458f6425,headword,绿色,lǜ sè,green,緑色,0,
content:dfe09d18-24ba-596d-9874-ee94c80b406b,033a6cdc38a47515d7d198b68c1fe33dcbf88a7689467d9d3eb5bc32506b7223,learning,word,绿色,54b18a8b-29ee-5527-a9cb-eea071b7e4d9,definition,像草和树叶那样的颜色。,xiàng cǎo hé shù yè nà yàng de yán sè 。,"The color of grass and many leaves, green.",草や木の葉のような色。緑色。,0,
content:1c346b8d-944f-59e5-8edf-135e9293f92f,bb88bee5ff6906aeb3d1c90507acf31069486cf41bb952ecbfb24b73386612ad,learning,word,西安,adc4f688-65e3-56e4-93ea-7302873b0535,headword,西安,xī ān,Xi’an,西安,0,
content:1c346b8d-944f-59e5-8edf-135e9293f92f,bb88bee5ff6906aeb3d1c90507acf31069486cf41bb952ecbfb24b73386612ad,learning,word,西安,86de2f16-88e7-54a3-809f-3decb379e9ee,definition,中国陕西省的省会城市。,zhōng guó shǎn xī shěng de shěng huì chéng shì 。,"The capital city of Shaanxi Province, China.",中国の陝西省の省都。,0,
content:e7e15dd2-ce9c-5396-b8a6-08e313ecc873,62d47d56e88d38bbad1e2fbf94149c60ac6c0764908ed259e981845f91784118,learning,word,先,e2d066a6-4f74-593b-8ff8-b7b087d9b2ea,headword,先,xiān,first,先に,0,
content:e7e15dd2-ce9c-5396-b8a6-08e313ecc873,62d47d56e88d38bbad1e2fbf94149c60ac6c0764908ed259e981845f91784118,learning,word,先,15c05a44-1b6f-5ea6-930f-71967eb3b45a,definition,时间或顺序在前，与后相对。,shí jiān huò shùn xù zài qián ， yǔ hòu xiāng duì 。,"Earlier in time or order, before.",時間や順序が前であること。先に。,0,
content:91aaa4af-ee03-5593-a10d-c50e4f65b3b8,4b174e38d2ab9f5e625aa39a7c166b785a4e868313a798bb658dc70c15ecce02,learning,word,妈妈,c6d6ed58-587b-5971-a856-35107fee4832,headword,妈妈,mā ma,mom,お母さん,0,
content:91aaa4af-ee03-5593-a10d-c50e4f65b3b8,4b174e38d2ab9f5e625aa39a7c166b785a4e868313a798bb658dc70c15ecce02,learning,word,妈妈,3aebc660-74f9-50ed-a97a-021ec9bf1026,definition,对母亲的称呼。,duì mǔ qīn de chēng hu 。,"An everyday term for one's mother, mom.",母親を呼ぶ言葉。お母さん。,0,
content:43a1ee0c-465a-5614-96eb-3ffba41edd8c,a9debaaaf7d9ee04aba5569b2d26c48fffe98a28bc6f3edd88080ae5cbea40c1,learning,word,花儿,7f9906a5-4855-5c66-ba98-e31c5b2d1a71,headword,花儿,huār,flower,花,0,
content:43a1ee0c-465a-5614-96eb-3ffba41edd8c,a9debaaaf7d9ee04aba5569b2d26c48fffe98a28bc6f3edd88080ae5cbea40c1,learning,word,花儿,fe70283f-fff9-5926-8a84-2a170e5f382b,definition,花的儿化说法。,huā de ér huà shuō fǎ 。,"An erhua form of 花, meaning flower.",「花」の児化形。花のこと。,0,
content:2e408c38-284f-5292-a0e6-aca51e5ede6d,1ae98ff199b2411f0227d37c3560d6315aad86c6ac024aef66169b4f714c9c95,learning,word,麻木,de107098-c463-57de-9e18-211aa897a1b7,headword,麻木,má mù,numb,しびれる,0,
content:2e408c38-284f-5292-a0e6-aca51e5ede6d,1ae98ff199b2411f0227d37c3560d6315aad86c6ac024aef66169b4f714c9c95,learning,word,麻木,54fbc81f-ab8a-522d-905a-eeea1a2d12c3,definition,身体某部分失去感觉，也指反应迟钝。,shēn tǐ mǒu bù fen shī qù gǎn jué ， yě zhǐ fǎn yìng chí dùn 。,"Numb, or slow or insensitive in one's reactions.",体の一部の感覚がなくなること。また、反応が鈍いこと。,0,应=yìng
content:dc9c4f8e-a358-5936-9821-efbbde54fa79,ae5d368fb962efa3bd65d8d0177104e7b6768505d6b1ef886d734f8f21e5b5db,learning,word,马上,668745d3-7cae-5c9a-ab34-a433bd564cb5,headword,马上,mǎ shàng,immediately,すぐに,0,
content:dc9c4f8e-a358-5936-9821-efbbde54fa79,ae5d368fb962efa3bd65d8d0177104e7b6768505d6b1ef886d734f8f21e5b5db,learning,word,马上,fda60486-70a0-53d7-93e2-57caf8a35907,definition,表示事情很快就会发生或立刻进行。,biǎo shì shì qing hěn kuài jiù huì fā shēng huò lì kè jìn xíng 。,Immediately or very soon.,すぐに、またはまもなく。,0,
content:7f350ecf-e7e8-566a-8704-5a6eb854afbd,ec36eb7699d9d5063d7b44e10b85c4e40f8e6290bbc576c7fc99694b4577d456,learning,word,骂人,400bd536-6e4a-5a92-8b5e-119257c90b62,headword,骂人,mà rén,to insult someone,人をののしる,0,
content:7f350ecf-e7e8-566a-8704-5a6eb854afbd,ec36eb7699d9d5063d7b44e10b85c4e40f8e6290bbc576c7fc99694b4577d456,learning,word,骂人,51b70a65-1f78-5019-b740-9d49ec61d520,definition,用粗鲁的话责备或侮辱别人。,yòng cū lǔ de huà zé bèi huò wǔ rǔ bié rén 。,To scold or insult someone with rude words.,乱暴な言葉で人を叱ったり侮辱したりすること。,0,
content:58b9fd50-9d3c-5460-b380-bb8c667a191a,c721272b585415d606059864f0f3e44c74def029cb4c9fa54165d12c753f3132,learning,text,一起学习,838d8133-5543-572f-9474-9900a0db2351,body,你好！欢迎学习中文。,nǐ hǎo ！ huān yíng xué xí zhōng wén 。,Hello! Welcome to learning Chinese.,こんにちは。一緒に中国語を学びましょう。,0,
