testId,title,steps,expected,platforms
HM-D009,长文混排工程投影,生成两万字和Unicode混排及多行诗词；逐页拼接与逐段投影比较原文,文本元素不丢失；每页不超过96元素；每段范围对应源文,Shared
HM-D010,大字号实际阅读,平台打开D3长文混排诗词；放大阅读并跳末页；Android另设系统字体200%；检查正文和分页,末尾可见；组合字符和emoji不拆分；分页可操作；恢复原偏好,Android;Windows
HM-D011,标签返回阅读语言刷新,阅读中切设置换语言再回原标签；检查控件和播放提示及页码,阅读控件与状态刷新；保留页码；窗口重建后读取保存偏好,Android;Windows
HM-D012,Windows阅读键盘与窗口归属,验证工作区进程及窗口；Tab经过阅读按钮；Enter下一页；End跳末页并捕获应用窗口,焦点属于实际HanMate；跳过禁用控件；正确切页且末页Next禁用,Windows
HM-D013,Android大字号导航列表完整显示,系统字体200%下切日英并打开课文列表；观察底部标签与筛选计数,导航标签和计数完整可见；操作入口保持可达,Android
HM-A001,语音下载与缓存故障,隔离目录注入断流/停滞/取消/损坏/写失败并重试；验证使用租约和选择持久化,没有半安装状态；错误分类正确；学习资料保持；取消可恢复,Shared
HM-A002,AI整段预检与统一分块,使用正常文本/空行/长标点/尾部未知字符和预取消输入,预检与实际48元素边界一致；不能先播部分再发现不可合成块,Shared;Windows
HM-A003,原生合成稳定性,固定中文及长数字输入循环20分钟并30次取消恢复；采样耗时和内存,无失败崩溃或持续内存增长；取消后可合成；结果不是听审或设备播放验收,Windows
HM-A004,AI试听与错误反馈,默认中文试听完成；追加ABC试听；重入后再次试听,中文播放完成；不支持输入明确提示且不进入原生忽略路径；控件恢复,Windows;Android
HM-A005,AI停用与重新启用,已选音色停用再启用；观察状态及缓存,停用保留模型；启用恢复所选声音；没有自动下载,Windows;Android
HM-A006,个人正文离线整篇朗读,AI已启用且正文无录音；断网播放个人工程文本两段并恢复原网络,整篇完成且文本不上传；已有内容和阅读字号保持,Windows;Android
HM-A007,AI导航与后台取消,试听开始后离页/后台；返回重新试听并停止,旧播放结束且无迟到状态覆盖；返回可操作,Windows;Android
HM-A008,更新重启保留语音包,覆盖安装更新并重启进入语音包页,模型及原选音色保持且可试听；原有学习资料仍在,Windows;Android
HM-A009,拼音例词长按查词,长按拼音进入例词；点例词播放；长按该例词,没有多余工具按钮；例词有拼音；进入共用词条解释页,Windows;Android
HM-A010,私有安全副本事务恢复,隔离库预览/保护当前状态/恢复及回滚；注入过期/损坏/租约/草稿/取消/缺安全副本/WAL/未来schema,恢复含回收站资源媒体；旧编辑失效；拒绝场景不改变当前内容,Shared
HM-A011,孤立媒体保护与物理清理,隔离文件观察7天；插入绑定/租约/草稿/副本及在提交后新增引用；中断并重试,仅自有且无引用媒体删除；未知文件保留；有新引用时跳过；重试幂等,Shared
HM-A012,安全副本保留策略,创建多份完整及损坏/未来版本副本；预览保留最近3份并重复清理；检查仅一份完整副本,最新3份及损坏/不兼容副本保持；唯一完整回滚副本不删,Shared
HM-A013,恢复与GC进程故障,独立进程在恢复安全副本后/清空后/提交前后和GC元数据后/删除后强杀；SQLite限页写满,重开SQLite完整；提交前原态提交后新态及收据一致；媒体可用；GC重试安全,Windows
HM-A014,数据安全入口非破坏性检查,打开副本列表；预览整理后取消；有草稿时扫描；覆盖升级检查既有资料,状态与保护原因可读；取消不删除；既有正文设置模型保持,Windows;Android
HM-A015,设备恢复与物理清理端到端,专用可丢弃设备配置上执行安全副本恢复/回滚和过保护期媒体删除；中断重开,完整关联及媒体一致；取消和重试可恢复；当前用户真实资料不用于破坏性验证,Windows;Android;iOS
HM-C001,随附目录保留式升级,隔离旧版随附包设置收藏/录音/ready与pending草稿/撤下/停用，升级并重启；外部伪装包尝试升级,旧引用保留；偏好不变；不重装/降级；pending保守延后；外部保留ID拒绝,Shared
HM-C002,审核结论随内容失效,扫描实际包与WAV；测试陈旧/重复/缺证据/越界/畸形审核；修改例文和依赖音源,哈希完整；失效结论不能放行；未审内容持续BLOCKED,Shared
HM-C003,新版目录安装保留与显示,Android覆盖安装；查看新释义拼音、随附目录版本、原外部目录和AI/阅读设置,新内容可见；旧设置模型保留,Android
HM-C004,正式随包内容与许可终审,逐项审阅643对象；补180释义注音；厘清200音频许可版本；取得独立ong；中文日英复核与逐声音听审,所有当前哈希有有效审核、素材来源授权与修订闭环,Shared
HM-D001,释义注音精确正文绑定,校验180释义全部汉字注音；改同长度正文、增删注音源条目、错误数量后生成,不漏汉字；来源漂移拒绝；保持needsReview与稳定ID；旧词头/音频/映射不变,Shared
HM-D002,退出重进与多语言阅读,打开波浪释义后从设置根页返回退出；同设备重进并切英语/日语/中文；阅读字号200/100/150及拼音显隐,新窗口页面服务有效；无退出重进/切语言崩溃；对应译文和中文注音正确显示；最终中文150%,Android
HM-D003,完整注音两跳备份,隔离库保存180带完整注音的个人副本及收藏；两跳备份导入并分别重复导入,全文JSON/ID/收藏/锁定/needsReview保留；重复不增条目；不计设备双向验收,Shared
HM-D004,Android备份文件与取消恢复,无效备份拒绝后重复合并有效文件；另存取消重试及ZIP保存；打开分享后返回,无效输入提示正确；重复新增0；两保存文件一致；不声称外部接收成功,Android
HM-D005,四类与注音工程设备往返,Windows生产服务宿主生成四类及注音释义5条和5音轨；Android合并另存；新宿主库严格回读并重复,完整JSON和UUID/拼音/译文/语法/收藏/媒体哈希及默认一致；Windows端不是UI,Shared
HM-D006,迁移原数据保护,比较设备迁移前后备份原118条/收藏/音频/资源/教学/设置；在私有副本注入6种损坏,原内容全部保留；6种原数据变动均拒绝,Shared
HM-D007,内容包失败后旧文件失效,单选工程文字生成另存；取消分享权利后再生成被拒；分享拒旧文件；重新确认生成分享并返回,失败后要求重新生成；重试可用；未外发,Android
HM-D008,系统保存内容包严格回读,生产服务在隔离宿主库导入Android系统保存的所选内容包并重复,1内容/0音轨；完整单元含拼音译文ID一致；无收藏设置资源文件；重复不增,Shared
