# base;tone;text;Chinese definition;English;Japanese
cong;1;匆;急促，匆忙。;hurried;慌ただしい
pao;3;跑;两脚交替向前快速移动。;run;走る
nie;1;捏;用手指夹住或按压。;pinch;つまむ
tai;2;抬;把手或物体向上举。;lift;持ち上げる
huo;3;火;物体燃烧时发出的光和热。;fire;火
ren;2;人;能使用语言和工具进行劳动的高等动物。;person;人
ren;3;忍;克制感情或承受痛苦。;endure;耐える
xue;2;学;通过练习或研究获得知识和技能。;learn;学ぶ
xue;3;雪;从云中落下的白色冰晶。;snow;雪
xue;1;靴;靴子，筒部较高的鞋。;boot;ブーツ
tun;1;吞;使食物等从口中进入肚子。;swallow;飲み込む
zhun;3;准;准确，符合要求。;accurate;正確な
ren;4;认;辨别，记住。;recognize;見分ける
neng;2;能;有能力或条件做某事。;can;できる
hong;2;红;像鲜血一样的颜色。;red;赤い
nan;2;南;早晨面对太阳时右手的一方。;south;南
san;3;伞;遮雨或遮阳的用具。;umbrella;傘
chang;2;长;两点之间的距离大。;long;長い
hui;2;回;返回原来的地方。;return;戻る
fei;2;肥;脂肪多，也指肥料。;fat;脂肪が多い
lou;2;楼;两层或两层以上的房屋。;multistory building;二階建て以上の建物
po;1;坡;倾斜的地面。;slope;坂
po;2;婆;年长的妇女。;elderly woman;年配の女性
po;4;破;完整的东西出现损伤。;broken;壊れる
ai;2;癌;由恶性肿瘤引起的疾病。;cancer;がん
