testId,category,requirements,title,precondition,steps,expected,level,platforms,priority,status,evidence
HM-T001,语言与界面,R01;R02;R03,三语言循环切换,已构建对应模块；使用独立测试资料，不覆盖真实用户库,依次切换 zh-Hans、ja、en，检查已打开页面和新弹窗,导航、按钮、提示立即切换，正文与拼音字节不变,平台,iOS;Android;Windows,P0,NOT RUN,
HM-T002,语言与界面,R01;R02;R03,中文隐藏译文,已构建对应模块；使用独立测试资料，不覆盖真实用户库,在有日英译文的词条和课文切为中文,不显示任何辅助译文，容器和留白同时移除,平台,iOS;Android;Windows,P0,NOT RUN,
HM-T003,语言与界面,R01;R02;R03,缺日语译文,已构建对应模块；使用独立测试资料，不覆盖真实用户库,打开只有英语译文的个人词条并选择日语 UI,不回退显示英语，正文正常，编辑页可补译文,平台,iOS;Android;Windows,P0,NOT RUN,
HM-T004,语言与界面,R01;R02;R03,首次系统语言映射,已构建对应模块；使用独立测试资料，不覆盖真实用户库,分别以中文、日语、其他语言系统全新启动,初始 UI 分别为 zh-Hans、ja、en,平台,iOS;Android;Windows,P0,NOT RUN,
HM-T005,语言与界面,R01;R02;R03,保存用户语言,已构建对应模块；使用独立测试资料，不覆盖真实用户库,选择日语后更改系统语言并重启,保留用户明确选择的日语,平台,iOS;Android;Windows,P0,NOT RUN,
HM-T006,语言与界面,R01;R02;R03,语音语言独立,已构建对应模块；使用独立测试资料，不覆盖真实用户库,英语或日语 UI 点击中文例句朗读,使用适用普通话音源，不按 UI 语言读中文,平台,iOS;Android;Windows,P0,NOT RUN,
HM-T007,语言与界面,R01;R02;R03,键盘焦点,已构建对应模块；使用独立测试资料，不覆盖真实用户库,Windows 只用 Tab、Enter、Esc 打开和关闭弹窗,所有核心操作可达，关闭后焦点回原触发控件,平台,iOS;Android;Windows,P0,NOT RUN,
HM-T008,语言与界面,R01;R02;R03,200%文字缩放,已构建对应模块；使用独立测试资料，不覆盖真实用户库,各页面放大系统文字到 200%,汉字拼音不截断，按钮可达，内容可滚动,平台,iOS;Android;Windows,P0,NOT RUN,
HM-T009,语言与界面,R01;R02;R03,窄屏与横屏,已构建对应模块；使用独立测试资料，不覆盖真实用户库,在窄窗口、手机横屏打开词条和放大阅读层,内容不重叠，不依赖固定像素宽度,平台,iOS;Android;Windows,P0,NOT RUN,
HM-T010,语言与界面,R01;R02;R03,屏幕阅读器,已构建对应模块；使用独立测试资料，不覆盖真实用户库,逐项聚焦拼音、录音、收藏和播放按钮,标签表达目标与状态，不重复读每个装饰元素,平台,iOS;Android;Windows,P0,NOT RUN,
HM-T011,语言与界面,R01;R02;R03,红色非唯一提示,已构建对应模块；使用独立测试资料，不覆盖真实用户库,观察四声目标并使用无色感知或读屏,同时有下划线/语义说明，目标仍可辨认,平台,iOS;Android;Windows,P0,NOT RUN,
HM-T012,语言与界面,R01;R02;R03,列表返回保留,已构建对应模块；使用独立测试资料，不覆盖真实用户库,筛选后滚动列表进入详情再返回,保留筛选、查询和滚动位置，不随机回顶部,平台,iOS;Android;Windows,P0,NOT RUN,
HM-T013,拼音教学,R04;R05;R07,拼音分组同页,已构建对应模块；使用独立测试资料，不覆盖真实用户库,滚动拼音页直到全部教学组,声母、韵母等同页可达，没有遗漏类别,平台+内容,iOS;Android;Windows,P0,NOT RUN,
HM-T014,拼音教学,R04;R05;R07,条目正确示范,已构建对应模块；使用独立测试资料，不覆盖真实用户库,点击不同声母/韵母并核对音源清单,播放对应教学音频，不用英文字母读法替代,平台+内容,iOS;Android;Windows,P0,NOT RUN,
HM-T015,拼音教学,R04;R05;R07,长按四声,已构建对应模块；使用独立测试资料，不覆盖真实用户库,长按有四声资料的 m 条目,四行按一至四声纵向排列，显示例词及带调拼音,平台+内容,iOS;Android;Windows,P0,NOT RUN,
HM-T016,拼音教学,R04;R05;R07,长按不重复点播,已构建对应模块；使用独立测试资料，不覆盖真实用户库,从按下至长按触发后松手,只触发长按行为，不额外播放条目点击音,平台+内容,iOS;Android;Windows,P0,NOT RUN,
HM-T017,拼音教学,R04;R05;R07,滚动取消长按,已构建对应模块；使用独立测试资料，不覆盖真实用户库,按下后拖动列表再松手,正常滚动，不误弹四声层,平台+内容,iOS;Android;Windows,P0,NOT RUN,
