# Original pairing drafts; same character and reading as displayed example. Audio may be unavailable.
# text;explicit readings;Chinese definition;English;Japanese
八方;ba1 fang1;四周各个方向。;all directions;四方八方
趴下;pa1 xia4;身体朝下伏在地面或物体上。;lie face down;うつ伏せになる
山坡;shan1 po1;山体倾斜的表面。;hillside;山の斜面
爬山;pa2 shan1;沿山路向高处走。;climb a mountain;山に登る
责骂;ze2 ma4;用严厉的话批评别人。;scold;叱る
大门;da4 men2;房屋或院子的主要出入口。;main entrance;正門
他们;ta1 men0;指说话人和听话人以外的若干人。;they;彼ら
吞咽;tun1 yan4;使食物或液体从口中进入食道。;swallow;飲み込む
抬头;tai2 tou2;把头向上举起。;raise one's head;顔を上げる
宝塔;bao3 ta3;多层的塔，也常指佛教建筑中的塔。;pagoda;仏塔
踏步;ta4 bu4;两脚交替抬起和落下。;step in place;足踏みする
拿手;na2 shou3;擅长做的。;be good at;得意な
哪里;na3 li3;询问地方。;where;どこ
拉手;la1 shou3;用手拉住另一人的手。;hold hands;手をつなぐ
喇叭;la3 ba0;一种管乐器，也指能扩大声音的装置。;horn;ラッパ
歌曲;ge1 qu3;可以演唱的音乐作品。;song;歌
个别;ge4 bie2;单个的或少数的。;individual;個別の
喝水;he1 shui3;把水饮入口中。;drink water;水を飲む
火车;huo3 che1;沿轨道行驶的列车。;train;列車
几何;ji3 he2;研究图形、大小和空间关系的数学分支。;geometry;幾何学
七彩;qi1 cai3;多种鲜明的颜色。;seven colors;七色
骑马;qi2 ma3;坐在马背上行进。;ride a horse;馬に乗る
知道;zhi1 dao0;了解某种情况或知识。;know;知っている
赤红;chi4 hong2;鲜明的红色。;bright red;真っ赤な
十分;shi2 fen1;表示程度很高。;very;とても
是否;shi4 fou3;是不是。;whether;かどうか
文字;wen2 zi4;记录语言的书写符号。;written characters;文字
雌雄;ci1 xiong2;雌性和雄性。;female and male;雌雄
次数;ci4 shu4;某种行为或事情发生的数量。;number of times;回数
五官;wu3 guan1;通常指耳、目、口、鼻、舌，也泛指面部器官。;facial features;顔の各部
白鹅;bai2 e2;羽毛主要呈白色的鹅。;white goose;白いガチョウ
淤泥;yu1 ni2;水中沉积的细软泥土。;silt;泥
癌症;ai2 zheng4;恶性肿瘤疾病的统称。;cancer;がん
矮小;ai3 xiao3;身材或物体的高度较低。;short and small;背が低く小さい
小狗;xiao3 gou3;幼小的狗，也可亲切地称呼狗。;puppy;子犬
溜冰;liu1 bing1;穿冰鞋在冰面上滑行。;ice skate;スケートをする
六月;liu4 yue4;一年中的第六个月。;June;六月
奔跑;ben1 pao3;快速地跑。;run;走る
笨重;ben4 zhong4;体积大或重量大，移动不方便。;heavy and bulky;重くて扱いにくい
头晕;tou2 yun1;感到头部昏沉或周围在旋转。;feel dizzy;めまいがする
园丁;yuan2 ding1;从事花木种植和照料的人。;gardener;庭師
椰子;ye1 zi0;椰树的果实，外壳坚硬，内有汁液和果肉。;coconut;ココナッツ
