subjectId,entries,first,last,membersSha256
dictionary-batch:xinhua:0001,1000,了,世,236a59cba8e2934326bf5cd0c59277824ad9471f712381f1c260b24b6d0703e3
dictionary-batch:xinhua:0002,1000,职权,颜色,4dbfb3865fe8b15681ca98867825b2a163701993ccb3282d5df8abe0d39dc8ed
dictionary-batch:xinhua:0003,1000,头发,中外,282e203a0cced97634d7940f0e8f53dff58a150e8a3b30465342e141011c4895
dictionary-batch:xinhua:0004,1000,名城,再度,02458b11097d92d7c06a5a040c8e96170cf42f02e1bd6d796619da538cfb79b7
dictionary-batch:xinhua:0005,1000,吏部,醇,f3fe3d6759ac22c866ec306a9ce302d99faa7f24ea42636b8570ab22810b41c0
dictionary-batch:xinhua:0006,1000,牢牢,沿途,db2d6e2e74252af46dfddd322e6b989acc3b9f33b07e87b5acabc0d054c8fff2
dictionary-batch:xinhua:0007,1000,草地,五星红旗,7c06f6903c20f425647965408d5c61c212bbd1ebd29e43b1c508bc044dce5509
dictionary-batch:xinhua:0008,1000,名优,半分,89b7ef378d2606866af8bcead052c56ebb3352609892fa05fc7f26309c7a3ac1
dictionary-batch:xinhua:0009,1000,大喜,淖,96b7ec0d7d83497abfe35412865e91a469d7cba663894db94bbcfc564e827367
dictionary-batch:xinhua:0010,1000,渗,恍,ffae31f18901c148e407d2c017b05dc54fb95ca91e3456daf5dd49725a178794
dictionary-batch:xinhua:0011,1000,所作所为,陶醉,aca6669dd1e7479605d6887d716f4213e21f2a43b187e80e641a53c8a7a505a0
dictionary-batch:xinhua:0012,1000,青木,脾胃,7e6cb2651849c9807dbaf4d7f8a8d1cd0d89c96252646e8b8e30992f645d133a
dictionary-batch:xinhua:0013,1000,自刎,河源,7a88e232e40b027bcd1be97fd6863915318e3fa5cccdd159d1a2a1f8f66d9302
dictionary-batch:xinhua:0014,1000,消瘦,贫农,97571ff683509ae96c374b6eec6fbb96ca6b2f8507b7a9655672f70576d0f3fd
dictionary-batch:xinhua:0015,1000,退走,岣,ff8fb94a0e48513279b158ec695e826298441e3b8824c6cef448f9cd9f88960a
dictionary-batch:xinhua:0016,1000,志向,芦,622b124a30d92136a1907631bef4a79c6e4c6913f82f1f08088176f1d86e4634
dictionary-batch:xinhua:0017,1000,评语,地磁,076cf6a718eea679637074d88621d2f35e948e501607bc3b5d5b2c3c079f52a1
dictionary-batch:xinhua:0018,1000,孤寂,身体力行,0ffa71e0f0a300c05b44b43e624ad53acda7c2a08dcac9f9f9ec40a067c47d5b
dictionary-batch:xinhua:0019,1000,远山,乐工,45259595cba3801ac0e11bf85b5f915e17f20b099281a7858ea0ddc4374b9730
dictionary-batch:xinhua:0020,1000,二进制,马驹,dab57f30ae265433975dfb2d0a328e05d77124f875243fe5a9203f2e6387eec2
dictionary-batch:xinhua:0021,1000,魔力,多姿,9f06f1a0ae9c5cef1793f6906035a7d5a13962ac9330f9b4e17eec3c7dbf2dbe
dictionary-batch:xinhua:0022,1000,大号,齐刷刷,cdc9758323b2753a43fcebcd9450417f031ab431fe1e0affe9becc997deec1d7
dictionary-batch:xinhua:0023,1000,龌龊,芸香,8d34373cc99c51e86f7c347b15a510f8c4362fc8fb6e42f02b82b9efea743e73
dictionary-batch:xinhua:0024,1000,苗头,心扉,cd0e007fee1c35a95abe9cfb840e6eab95c0bb6ee79e3cbdf4f95747e78356d7
dictionary-batch:xinhua:0025,1000,怨天尤人,高利,d220e83f3a5305a2902980639236700e2052e934a7c4ce72807bcf418c5a1ac5
dictionary-batch:xinhua:0026,1000,高枕无忧,蛆虫,7ff436d42a28240474deda8ea098df946f27e3e87faa622d0b58cb3ce8760ec9
dictionary-batch:xinhua:0027,1000,蛮荒,前仰后合,9bc06d806ee0d036a983ae35a170fef5327e06522c2e7101ea2b08d7df3c6c54
dictionary-batch:xinhua:0028,1000,前臂,共同社,4a23576b865ca55db329988c96de9ae6ffbdecd40aef8e1424012a38c67fb433
dictionary-batch:xinhua:0029,1000,养家糊口,诼,82cbebd3345fcf3cce2df573e8a8ac5cb8ca057cd46bc01808525d4a44585e13
dictionary-batch:xinhua:0030,1000,谲,戒除,da4f2729f96410e421de5f0dcaacbe552994a073f24b3c55605b6b1d3145cf5b
dictionary-batch:xinhua:0031,1000,截取,挽歌,d964227b9d366f766b52418bb5a5963750930e962372b6af671b60526995d5bd
dictionary-batch:xinhua:0032,1000,捆缚,助听器,f0823e6c7f50a2e1500d8150a1512dcad33f07f1f8ac3526ffc073a31e33d33d
dictionary-batch:xinhua:0033,1000,募兵制,溶溶,68681e15ad44549af7f1c764f14cbdcda45111f8bf4ff03ca00b0b22c56f29b9
dictionary-batch:xinhua:0034,1000,漂洗,顺气,2de87669af7c24f1f2b3f4cc48bc9ca85794832bce2a81c6d7d0425e3fddbc89
dictionary-batch:xinhua:0035,1000,颤音,受纳,1bfb2a9a1a40fad8b60327b53f0ec12bdebc8ae71adad903924ff9952d485f80
dictionary-batch:xinhua:0036,1000,叠嶂,大眼贼,3959187b928079a6632c70792cbb5077bcd8f1279731c98899faf61c7fb527c2
dictionary-batch:xinhua:0037,1000,大雨滂沱,名重一时,c95e885ce84bedd03cc7a68fe8c669b95c94cae4a92ef4877069cb05817c6e31
dictionary-batch:xinhua:0038,1000,吞蚀,世伯,2db2c8f036620263fb72e0ac3d03a0da5e81c4045e100b3e5889c4899ca2cb9c
dictionary-batch:xinhua:0039,1000,丛谈,猎场,320ecd78f2875079b455c41966c094dfda479b75a94c2e08bf1ea1e580a5ab8b
dictionary-batch:xinhua:0040,1000,猪栏,兔儿爷,35c7f02ecf5046a6d9e09f3f454d59c2801b449ed9f05ba12b8baf0978003df4
dictionary-batch:xinhua:0041,1000,入队,晓风残月,2aa3de71ab81a29dba9a2c344b50faf0f6a0bbdccc777209077039bfa83fce8d
dictionary-batch:xinhua:0042,1000,景炎,芽茶,53c6c8dc3ccc9a00f01ac4648b2d384425cb54a24dc751190a5ce8d0ee5b193c
dictionary-batch:xinhua:0043,1000,苾,鲠,42fa570b08e725cb0e8db9c8446c23823f9c8541aa25c8a46ced64c003ac2fb3
dictionary-batch:xinhua:0044,1000,鲮鲤,儙,e44c2ec3f3bcc58cc637907f2948bd007e52cbe25b532a5b5b89364b66524353
dictionary-batch:xinhua:0045,1000,全无心肝,儿女情,2f95c44c18068cf1b28f8decac26fa6b27db2d5f8adaf7d7e01522b1a41df8ef
dictionary-batch:xinhua:0046,1000,先人后己,东方不亮西方亮,3570ebf5d1877efe13a3e5ba7f848c3f7d9aa559d6ac62260113b78007c00b2c
dictionary-batch:xinhua:0047,1000,东风压倒西风,退耕,d726bedf21b72f3ac86ab2162ae5937560bcce6b5744e99d00cdc5ccda85328f
dictionary-batch:xinhua:0048,1000,送人情,砚田,f4b2f2b1d70cc9170d0be5d71c45ada867b03da11a3f59ef8a13e51b6d3b7e31
dictionary-batch:xinhua:0049,1000,破罐破摔,恣睢,73f30fa54d0e780f604157512422d4240fd40b415572339e5fd7b39ce429491b
dictionary-batch:xinhua:0050,1000,恨入骨髓,一世龙门,3d55d7044f85d57b27c0a87660eaf7aeb1568fa8fe70f90e9b040934c0dea943
dictionary-batch:xinhua:0051,1000,一丘一壑,不敏,bb42cd80976c3bae7a843c534ca47dcc121e275b6c14b4894dce43acc7e474cd
dictionary-batch:xinhua:0052,1000,不教之教,乡友,4f4ffdd687c7cd9cd52dacdf5d22c0583bd36bd18f44c1e32add651f0c17564d
dictionary-batch:xinhua:0053,1000,乡味,伐毛换髓,83aacf0cfc102765bc0777f5762acfb6711e8a5d1073bd9664b7db9baec62511
dictionary-batch:xinhua:0054,1000,伐毛洗髓,克食,94cdf9355510762d0df6ce560a63f7a5b773935a584601f77d2e755d323be5fe
dictionary-batch:xinhua:0055,1000,免官,分账,a7700223817cf361421a7899b84750cae1459a4c0d834b6c77397be4768c95e5
dictionary-batch:xinhua:0056,1000,分贫振穷,博学洽闻,33e5e0bd03a9915681e8bd32fa9be505bd8e3d754b9c69d6302afffbb3b119bc
dictionary-batch:xinhua:0057,1000,博弈犹贤,告绝,ec959c19754c02fbbc66c074f5ed3f64c12e6c40783dac8411eee8ad78a6e6de
dictionary-batch:xinhua:0058,1000,告老在家,填具,2a00826b7645bea309aeb3e9236d0c85da245fe7ae667028fe14718632fd6a14
dictionary-batch:xinhua:0059,1000,填列,婢仆,99cfacccb99bbe7a04df575a8ec9a01c3d85237cdc5a21e2ab89879e6d01cb89
dictionary-batch:xinhua:0060,1000,婢作夫人,尾楼,641e9fae81ef47f6c2441a2de82d908b9ccf6e1f23563c59c4444be482f2ae6c
dictionary-batch:xinhua:0061,1000,尾生之信,弊车羸马,c805cc04ef4561c2bbce5bee824fc23b4d6304527a83532e9b49cf4c8f820825
