自我介绍	zi4 wo3 jie4 shao4
我的家	wo3 de0 jia1
一天的生活	yi4 tian1 de0 sheng1 huo2
在学校	zai4 xue2 xiao4
去买东西	qu4 mai3 dong1 xi0
问路	wen4 lu4
买菜对话	mai3 cai4 dui4 hua4
点餐对话	dian3 can1 dui4 hua4
借书对话	jie4 shu1 dui4 hua4
静夜思	jing4 ye4 si1
春晓	chun1 xiao3
咏鹅	yong3 e2
悯农（其二）	min3 nong2 qi2 er4
登鹳雀楼	deng1 guan4 que4 lou2
江雪	jiang1 xue3
离骚（节选）	li2 sao1 jie2 xuan3
鱼和熊掌不可兼得（《鱼我所欲也》节选）	yu2 he2 xiong2 zhang3 bu4 ke3 jian1 de2 yu2 wo3 suo3 yu4 ye3 jie2 xuan3
相思	xiang1 si1
鹿柴	lu4 zhai4
一起学习	yi4 qi3 xue2 xi2
读书小句（原创测试）	du2 shu1 xiao3 ju4 yuan2 chuang4 ce4 shi4
唐 · 李白	tang2 li3 bai2
唐 · 孟浩然	tang2 meng4 hao4 ran2
唐 · 骆宾王	tang2 luo4 bin1 wang2
唐 · 李绅	tang2 li3 shen1
唐 · 王之涣	tang2 wang2 zhi1 huan4
唐 · 柳宗元	tang2 liu3 zong1 yuan2
战国 · 屈原	zhan4 guo2 qu1 yuan2
战国 · 孟子	zhan4 guo2 meng4 zi3
唐 · 王维	tang2 wang2 wei2
