requirementId,description,priority,documents,tests,implementationStatus
R01,iOS、Android、Windows,P0,docs/06_Architecture_and_Dependencies.md;docs/19_Test_Strategy_and_Acceptance.md;docs/22_Build_Release_and_Operations.md,HM-T001;HM-T002;HM-T003;HM-T004;HM-T005;HM-T006;HM-T007;HM-T008;HM-T009;HM-T010;HM-T011;HM-T012;HM-T119;HM-T120;HM-T121;HM-T122;HM-T123;HM-T124;HM-T125;HM-T126;HM-T127;HM-T128,IN PROGRESS
R02,简中、日、英UI,P0,docs/05_Localization_and_Copy.md,HM-T001;HM-T002;HM-T003;HM-T004;HM-T005;HM-T006;HM-T007;HM-T008;HM-T009;HM-T010;HM-T011;HM-T012;HM-T129,IN PROGRESS
R03,教学中文固定，译文随设置且中文隐藏,P0,docs/05_Localization_and_Copy.md,HM-T001;HM-T002;HM-T003;HM-T004;HM-T005;HM-T006;HM-T007;HM-T008;HM-T009;HM-T010;HM-T011;HM-T012;HM-T131;HM-T163;HM-T169,IN PROGRESS
R04,同页拼音表与点播,P0,docs/03_Page_Specifications.md;docs/11_Audio_Playback_and_Recording.md;docs/16_Content_Production_and_Licensing.md,HM-T013;HM-T014;HM-T015;HM-T016;HM-T017;HM-T018;HM-T019;HM-T020;HM-T021;HM-T022;HM-T083;HM-T084;HM-T085;HM-T086;HM-T087;HM-T088;HM-T089;HM-T090;HM-T091;HM-T092;HM-T093;HM-T094;HM-T095;HM-T096;HM-T097;HM-T098,IN PROGRESS
R05,长按四声例词及目标拼音标红,P0,docs/03_Page_Specifications.md;docs/08_Pinyin_Engine_and_Correction.md;docs/16_Content_Production_and_Licensing.md,HM-T013;HM-T014;HM-T015;HM-T016;HM-T017;HM-T018;HM-T019;HM-T020;HM-T021;HM-T022,IN PROGRESS
R06,词语、课文、语法、诗词及分类,P0,docs/01_Product_Requirements.md;docs/02_User_Flows_and_Navigation.md;docs/03_Page_Specifications.md;docs/09_Ruby_Layout_and_Reading.md;docs/30_Grammar_Module.md,HM-T023;HM-T024;HM-T025;HM-T026;HM-T027;HM-T028;HM-T029;HM-T030;HM-T031;HM-T032;HM-T033;HM-T034;HM-T035;HM-T036;HM-T037;HM-T038;HM-T039;HM-T040;HM-T041;HM-T042;HM-T043;HM-T044;HM-T045;HM-T046;HM-T130;HM-T138,IN PROGRESS
R07,预置词语、课文、语法、诗词与基础查询字典,P0,docs/16_Content_Production_and_Licensing.md;docs/30_Grammar_Module.md,HM-T013;HM-T014;HM-T015;HM-T016;HM-T017;HM-T018;HM-T019;HM-T020;HM-T021;HM-T022;HM-T023;HM-T024;HM-T025;HM-T026;HM-T027;HM-T028;HM-T029;HM-T030;HM-T031;HM-T032;HM-T130,IN PROGRESS
R08,词条和例句带调注音与朗读,P0,docs/03_Page_Specifications.md;docs/09_Ruby_Layout_and_Reading.md;docs/11_Audio_Playback_and_Recording.md,HM-T023;HM-T024;HM-T025;HM-T026;HM-T027;HM-T028;HM-T029;HM-T030;HM-T031;HM-T032;HM-T083;HM-T084;HM-T085;HM-T086;HM-T087;HM-T088;HM-T089;HM-T090;HM-T091;HM-T092;HM-T093;HM-T094;HM-T095;HM-T096;HM-T097;HM-T098;HM-T134,IN PROGRESS
R09,课文分段放大朗读与注音,P0,docs/09_Ruby_Layout_and_Reading.md;docs/11_Audio_Playback_and_Recording.md,HM-T033;HM-T034;HM-T035;HM-T036;HM-T037;HM-T038;HM-T039;HM-T040;HM-T041;HM-T042;HM-T043;HM-T044;HM-T045;HM-T046;HM-T083;HM-T084;HM-T085;HM-T086;HM-T087;HM-T088;HM-T089;HM-T090;HM-T091;HM-T092;HM-T093;HM-T094;HM-T095;HM-T096;HM-T097;HM-T098,IN PROGRESS
R10,底部汉字/拼音搜索,P0,docs/10_Search_and_Indexing.md,HM-T047;HM-T048;HM-T049;HM-T050;HM-T051;HM-T052;HM-T053;HM-T054;HM-T055;HM-T056;HM-T057;HM-T058;HM-T059;HM-T060;HM-T154;HM-T156;HM-T157;HM-T159;HM-T161,IN PROGRESS
