# Original AI-assisted teaching draft; Chinese, pinyin and translations pending independent review.
# category;word;headword pinyin;definition;definition pinyin;English;Japanese
greetings;请问;qing3 wen4;向别人提问时使用的礼貌用语。;xiang4 bie2 ren2 ti2 wen4 shi2 shi3 yong4 de0 li3 mao4 yong4 yu3;Excuse me, used before asking a question.;すみません、質問の前に使う丁寧な言葉。
greetings;晚安;wan3 an1;睡觉前使用的问候语。;shui4 jiao4 qian2 shi3 yong4 de0 wen4 hou4 yu3;Good night.;おやすみなさい。
food;鸡蛋;ji1 dan4;鸡所产的蛋。;ji1 suo3 chan3 de0 dan4;Chicken egg.;鶏の卵。
food;香蕉;xiang1 jiao1;一种果肉柔软的水果。;yi4 zhong3 guo3 rou4 rou2 ruan3 de0 shui3 guo3;Banana.;バナナ。
colors;绿色;lv4 se4;像草叶那样的颜色。;xiang4 cao3 ye4 na4 yang4 de0 yan2 se4;Green.;緑色。
colors;白色;bai2 se4;像雪那样的颜色。;xiang4 xue3 na4 yang4 de0 yan2 se4;White.;白色。
nature;河流;he2 liu2;地表流动的天然水道。;di4 biao3 liu2 dong4 de0 tian1 ran2 shui3 dao4;River.;川。
travel;下车;xia4 che1;从车上下来。;cong2 che1 shang4 xia4 lai2;Get off a vehicle.;乗り物から降りる。
study;作业;zuo4 ye4;学习后需要完成的练习。;xue2 xi2 hou4 xu1 yao4 wan2 cheng2 de0 lian4 xi2;Homework or assigned exercises.;宿題や課題。
study;考试;kao3 shi4;用试题检查学习情况的活动。;yong4 shi4 ti2 jian3 cha2 xue2 xi2 qing2 kuang4 de0 huo2 dong4;Test or examination.;試験。
common,greetings;谢谢;xie4 xie0;表示感谢的用语。;biao3 shi4 gan3 xie4 de0 yong4 yu3;Thank you.;ありがとう。
common,greetings;再见;zai4 jian4;分别时说的告别用语。;fen1 bie2 shi2 shuo1 de0 gao4 bie2 yong4 yu3;Goodbye.;さようなら。
numbers;零;ling2;表示没有数量，也表示数位上的空位。;biao3 shi4 mei2 you3 shu4 liang4 ye3 biao3 shi4 shu4 wei4 shang4 de0 kong4 wei4;Zero.;ゼロ。
numbers;一;yi1;最小的正整数。;zui4 xiao3 de0 zheng4 zheng3 shu4;One.;一。
numbers;二;er4;一加一得到的数。;yi1 jia1 yi1 de2 dao4 de0 shu4;Two.;二。
numbers;三;san1;二加一得到的数。;er4 jia1 yi1 de2 dao4 de0 shu4;Three.;三。
numbers;四;si4;三加一得到的数。;san1 jia1 yi1 de2 dao4 de0 shu4;Four.;四。
numbers;五;wu3;四加一得到的数。;si4 jia1 yi1 de2 dao4 de0 shu4;Five.;五。
numbers;六;liu4;五加一得到的数。;wu3 jia1 yi1 de2 dao4 de0 shu4;Six.;六。
numbers;七;qi1;六加一得到的数。;liu4 jia1 yi1 de2 dao4 de0 shu4;Seven.;七。
numbers;八;ba1;七加一得到的数。;qi1 jia1 yi1 de2 dao4 de0 shu4;Eight.;八。
numbers;九;jiu3;八加一得到的数。;ba1 jia1 yi1 de2 dao4 de0 shu4;Nine.;九。
numbers;十;shi2;九加一得到的数。;jiu3 jia1 yi1 de2 dao4 de0 shu4;Ten.;十。
numbers;百;bai3;十个十的数量。;shi2 ge4 shi2 de0 shu4 liang4;One hundred.;百。
numbers;千;qian1;十个一百的数量。;shi2 ge4 yi4 bai3 de0 shu4 liang4;One thousand.;千。
numbers;万;wan4;十个一千的数量。;shi2 ge4 yi4 qian1 de0 shu4 liang4;Ten thousand.;一万。
weight;克;ke4;质量单位，千克的千分之一。;zhi4 liang4 dan1 wei4 qian1 ke4 de0 qian1 fen1 zhi1 yi1;Gram, one thousandth of a kilogram.;グラム。キログラムの千分の一。
weight;千克;qian1 ke4;质量单位，通常也叫公斤。;zhi4 liang4 dan1 wei4 tong1 chang2 ye3 jiao4 gong1 jin1;Kilogram, equal to one thousand grams.;キログラム。千グラム。
weight;公斤;gong1 jin1;千克的通称，一公斤等于一千克。;qian1 ke4 de0 tong1 cheng1 yi4 gong1 jin1 deng3 yu2 yi4 qian1 ke4;A common Chinese name for kilogram.;キログラムの中国語での一般的な呼び方。
weight;斤;jin1;中国大陆常用的市制质量单位，一斤等于五百克。;zhong1 guo2 da4 lu4 chang2 yong4 de0 shi4 zhi4 zhi4 liang4 dan1 wei4 yi4 jin1 deng3 yu2 wu3 bai3 ke4;Jin, a customary unit equal to 500 grams in mainland China.;斤。中国大陸では五百グラムに相当する単位。
weight;两;liang3;用作市制质量单位时，中国大陆的一两等于五十克。;yong4 zuo4 shi4 zhi4 zhi4 liang4 dan1 wei4 shi2 zhong1 guo2 da4 lu4 de0 yi4 liang3 deng3 yu2 wu3 shi2 ke4;Liang, a customary unit equal to 50 grams in mainland China.;両。中国大陸では五十グラムに相当する単位。
weight;吨;dun1;质量单位，一吨等于一千千克。;zhi4 liang4 dan1 wei4 yi2 dun1 deng3 yu2 yi4 qian1 qian1 ke4;Tonne, equal to one thousand kilograms.;トン。千キログラム。
time;今天;jin1 tian1;说话时的这一天。;shuo1 hua4 shi2 de0 zhe4 yi4 tian1;Today.;今日。
time;明天;ming2 tian1;今天的后一天。;jin1 tian1 de0 hou4 yi4 tian1;Tomorrow.;明日。
time;昨天;zuo2 tian1;今天的前一天。;jin1 tian1 de0 qian2 yi4 tian1;Yesterday.;昨日。
time;分钟;fen1 zhong1;时间单位，一分钟等于六十秒。;shi2 jian1 dan1 wei4 yi4 fen1 zhong1 deng3 yu2 liu4 shi2 miao3;Minute, equal to sixty seconds.;分。六十秒。
family,address;爸爸;ba4 ba0;对父亲的称呼。;dui4 fu4 qin1 de0 cheng1 hu0;Dad, father.;お父さん。
