# Original teaching drafts: text;explicit readings;Chinese definition;English;Japanese
帽子;mao4 zi0;戴在头上保暖或遮阳的用品。;hat;帽子
垃圾;la1 ji1;被丢弃的废物。;garbage;ごみ
居住;ju1 zhu4;在某个地方生活。;reside;住む
军队;jun1 dui4;国家组织的武装力量。;army;軍隊
子孙;zi3 sun1;儿子、孙子以及以后的后代。;descendants;子孫
午饭;wu3 fan4;中午吃的一顿饭。;lunch;昼ご飯
批评;pi1 ping2;指出缺点或错误。;criticize;批判する
提拔;ti2 ba2;选拔人才并提升职位。;promote;抜擢する
理发;li3 fa4;修剪和整理头发。;have a haircut;散髪する
搭配;da1 pei4;把合适的事物组合在一起。;match;組み合わせる
打扫;da3 sao3;清除垃圾、灰尘等，使地方干净。;clean;掃除する
谈话;tan2 hua4;互相交谈。;talk;話し合う
捏造;nie1 zao4;编造本来没有的事情。;fabricate;でっち上げる
来往;lai2 wang3;互相交往或来回走动。;come and go;行き来する
格式;ge2 shi4;规定的式样。;format;書式
河流;he2 liu2;沿地表一定水道流动的水。;river;河川
美好;mei3 hao3;美丽而令人满意。;beautiful;素晴らしい
记得;ji4 de0;没有忘记。;remember;覚えている
洗澡;xi3 zao3;用水清洗身体。;take a bath;風呂に入る
好吃;hao3 chi1;味道好。;delicious;おいしい
词典;ci2 dian3;收集词语并解释意义或用法的工具书。;dictionary;辞典
彼此;bi3 ci3;对方和自己。;each other;お互い
刺激;ci4 ji1;引起感觉或反应。;stimulate;刺激する
丝毫;si1 hao2;极小的一点。;the slightest bit;ほんの少し
匆忙;cong1 mang2;急急忙忙的样子。;hasty;慌ただしい
雨伞;yu3 san3;遮雨的伞。;umbrella;雨傘
额外;e2 wai4;超出规定数量或范围的。;extra;追加の
回来;hui2 lai2;从别处回到这里。;come back;戻ってくる
雹子;bao2 zi0;从云中落下的冰粒或冰块。;hail;ひょう
不够;bu4 gou4;没有达到需要的数量或程度。;not enough;足りない
纠正;jiu1 zheng4;把错误改正。;correct;訂正する
扭转;niu3 zhuan3;改变方向或局面。;turn around;方向を変える
锦绣;jin3 xiu4;精美鲜艳的丝织品，也形容美好。;splendid;美しい
借口;jie4 kou3;为达到某种目的而提出的理由。;excuse;言い訳
二氧化碳;er4 yang3 hua4 tan4;一种无色无味的气体。;carbon dioxide;二酸化炭素
云彩;yun2 cai0;天空中的云。;cloud;雲
长期;chang2 qi1;很长的一段时间。;long term;長期間
顶点;ding3 dian3;最高的点或程度。;peak;頂点
红旗;hong2 qi2;红色的旗帜。;red flag;赤い旗
靴子;xue1 zi0;筒部较高的鞋。;boots;ブーツ
阿姨;a1 yi2;对与母亲同辈女性的称呼。;auntie;おばさん
把手;ba3 shou0;器物上便于用手握住的部分。;handle;取っ手
跑步;pao3 bu4;两脚交替向前快速移动。;run;走る
发票;fa1 piao4;购买商品或接受服务时开具的凭证。;invoice;領収書
法律;fa3 lü4;由国家制定或认可的行为规则。;law;法律
达到;da2 dao4;到达某个位置、程度或目标。;reach;達する
南方;nan2 fang1;南边的地区。;the south;南方
那边;na4 bian1;离说话人较远的地方。;over there;あちら
辣椒;la4 jiao1;果实常有辣味的一种植物，也指它的果实。;chili pepper;唐辛子
水果;shui3 guo3;可以食用的多汁植物果实。;fruit;果物
告诉;gao4 su0;把事情说给别人听。;tell;伝える
科学;ke1 xue2;研究自然、社会等规律的知识体系。;science;科学
咳嗽;ke2 sou0;呼吸道受刺激时用力呼气发声。;cough;咳をする
可以;ke3 yi3;表示可能或许可。;can;できる
课本;ke4 ben3;上课学习使用的书。;textbook;教科書
祝贺;zhu4 he4;对别人的喜事表示庆祝。;congratulate;祝う
鸡蛋;ji1 dan4;母鸡产的卵。;egg;鶏卵
急忙;ji2 mang2;心里着急，行动很快。;hurriedly;急いで
起来;qi3 lai2;从低处或躺坐的姿势起身。;get up;起きる
学习;xue2 xi2;通过阅读、听讲或练习获得知识和技能。;learn;学ぶ
细心;xi4 xin1;做事认真，注意细节。;careful;注意深い
直接;zhi2 jie1;不经过中间环节。;direct;直接
纸张;zhi3 zhang1;纸的总称。;paper;紙
至少;zhi4 shao3;表示最小的数量或最低的程度。;at least;少なくとも
迟到;chi2 dao4;比规定的时间晚到。;arrive late;遅刻する
尺子;chi3 zi0;测量长度或画直线的工具。;ruler;定規
翅膀;chi4 bang3;鸟或昆虫用来飞行的器官。;wing;翼
诗人;shi1 ren2;写诗的人。;poet;詩人
时间;shi2 jian1;事情发生或持续的时刻、长短。;time;時間
历史;li4 shi3;过去发生的事情及其发展过程。;history;歴史
事情;shi4 qing0;人们做的活动或发生的情况。;matter;事柄
忍耐;ren3 nai4;把痛苦或不满的感觉克制住。;endure;耐える
日记;ri4 ji4;按日期记录每天经历或想法的文字。;diary;日記
资源;zi1 yuan2;可以利用的自然物或人力、物力。;resources;資源
自己;zi4 ji3;指本人。;oneself;自分
从来;cong2 lai2;从过去到现在一直如此。;always;これまでずっと
死亡;si3 wang2;生命结束。;death;死亡
四季;si4 ji4;春、夏、秋、冬四个季节。;four seasons;四季
移动;yi2 dong4;改变原来的位置。;move;移動する
椅子;yi3 zi0;有靠背、供人坐的家具。;chair;椅子
意思;yi4 si0;语言或行为所表达的含义。;meaning;意味
屋子;wu1 zi0;房屋里的房间。;room;部屋
无数;wu2 shu4;数量非常多。;countless;無数
物品;wu4 pin3;各种东西的统称。;item;品物
金鱼;jin1 yu2;一种常作为观赏鱼饲养的鱼。;goldfish;金魚
玉米;yu4 mi3;一种结棒状果穗的粮食作物。;corn;トウモロコシ
恶心;e3 xin0;想呕吐，或令人感到厌恶。;nauseous;吐き気がする
饥饿;ji1 e4;肚子空、想吃东西的感觉。;hunger;空腹
悲哀;bei1 ai1;伤心、难过。;sorrow;悲しみ
爱好;ai4 hao4;对某种事物特别喜欢。;hobby;趣味
杯子;bei1 zi0;盛水或其他饮料的器具。;cup;コップ
肥皂;fei2 zao4;洗涤时用的一种清洁用品。;soap;石けん
北方;bei3 fang1;北边的地区。;the north;北方
宝贝;bao3 bei4;珍贵或受到珍爱的东西。;treasure;宝物
归还;gui1 huan2;把借来的东西交还原主。;return something;返す
魔鬼;mo2 gui3;传说中害人的鬼怪。;devil;悪魔
贵重;gui4 zhong4;价值很高，值得珍惜。;valuable;貴重な
包子;bao1 zi0;用面皮包馅蒸成的食品。;steamed bun;肉まん
抱歉;bao4 qian4;因过失而感到对不起别人。;sorry;申し訳ない
沟通;gou1 tong1;彼此交流，使能够理解。;communicate;意思を通わせる
楼房;lou2 fang2;两层或两层以上的房屋。;multistory building;二階建て以上の建物
柳树;liu3 shu4;枝条细长、叶片狭长的一种树。;willow;柳
街道;jie1 dao4;城镇中供人车通行的道路。;street;街路
节日;jie2 ri4;庆祝或纪念的日子。;festival;祝日
