# Original AI-assisted definitions; development draft, pending independent Chinese/English/Japanese review.
# word;definition;numbered pinyin for Hanzi;English;Japanese
你好;见面时表示问候的用语。;jian4 mian4 shi2 biao3 shi4 wen4 hou4 de0 yong4 yu3;A greeting used when meeting someone.;人に会ったときに使う挨拶。
学习;通过阅读、练习等方式获得知识或技能。;tong1 guo4 yue4 du2 lian4 xi2 deng3 fang1 shi4 huo4 de2 zhi1 shi0 huo4 ji4 neng2;To gain knowledge or skills through reading, practice, or other methods.;読書や練習などによって知識や技能を身につけること。
银行;经营存款、贷款等业务的金融机构。;jing1 ying2 cun2 kuan3 dai4 kuan3 deng3 ye4 wu4 de0 jin1 rong2 ji1 gou4;A financial institution that accepts deposits and provides loans.;預金や貸付などを扱う金融機関。
行走;用脚步移动身体，走路。;yong4 jiao3 bu4 yi2 dong4 shen1 ti3 zou3 lu4;To move on foot, to walk.;足で移動すること。歩くこと。
音乐;用声音的节奏、旋律等表达情感的艺术。;yong4 sheng1 yin1 de0 jie2 zou4 xuan2 lv4 deng3 biao3 da2 qing2 gan3 de0 yi4 shu4;The art of expressing feelings through rhythm, melody, and sound.;音のリズムや旋律などで感情を表現する芸術。
快乐;感到高兴、愉快。;gan3 dao4 gao1 xing4 yu2 kuai4;Feeling happy or joyful.;楽しく、うれしい気持ちであること。
女儿;父母所生的女性孩子。;fu4 mu3 suo3 sheng1 de0 nv3 xing4 hai2 zi0;A female child in relation to her parents.;親から見た女の子。娘。
绿色;像草和树叶那样的颜色。;xiang4 cao3 he2 shu4 ye4 na4 yang4 de0 yan2 se4;The color of grass and many leaves, green.;草や木の葉のような色。緑色。
西安;中国陕西省的省会城市。;zhong1 guo2 shan3 xi1 sheng3 de0 sheng3 hui4 cheng2 shi4;The capital city of Shaanxi Province, China.;中国の陝西省の省都。
先;时间或顺序在前，与后相对。;shi2 jian1 huo4 shun4 xu4 zai4 qian2 yu3 hou4 xiang1 dui4;Earlier in time or order, before.;時間や順序が前であること。先に。
妈妈;对母亲的称呼。;dui4 mu3 qin1 de0 cheng1 hu0;An everyday term for one's mother, mom.;母親を呼ぶ言葉。お母さん。
花儿;花的儿化说法。;hua1 de0 er2 hua4 shuo1 fa3;An erhua form of 花, meaning flower.;「花」の児化形。花のこと。
麻木;身体某部分失去感觉，也指反应迟钝。;shen1 ti3 mou3 bu4 fen0 shi1 qu4 gan3 jue2 ye3 zhi3 fan3 ying4 chi2 dun4;Numb, or slow or insensitive in one's reactions.;体の一部の感覚がなくなること。また、反応が鈍いこと。
马上;表示事情很快就会发生或立刻进行。;biao3 shi4 shi4 qing0 hen3 kuai4 jiu4 hui4 fa1 sheng1 huo4 li4 ke4 jin4 xing2;Immediately or very soon.;すぐに、またはまもなく。
骂人;用粗鲁的话责备或侮辱别人。;yong4 cu1 lu3 de0 hua4 ze2 bei4 huo4 wu3 ru3 bie2 ren2;To scold or insult someone with rude words.;乱暴な言葉で人を叱ったり侮辱したりすること。
中国;中华人民共和国的简称。;zhong1 hua2 ren2 min2 gong4 he2 guo2 de0 jian3 cheng1;A short name for the People's Republic of China.;中華人民共和国の略称。
中文;汉语，通常也指汉语的书面语。;han4 yu3 tong1 chang2 ye3 zhi3 han4 yu3 de0 shu1 mian4 yu3;Chinese, often referring to its written form.;中国語。特に、その書き言葉を指すこともある。
